ISO_A0,week_period,Year,annual_total,week_num,avg_prop,dengue_total,Country.Name,Indicator.Name,Indicator.Code,Population,incidence_rate,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snowdepth,snow,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,name,GDP,HEP,UPR,population_density,ATP,WT,RPV,HT,NMR,TP0_14,TP15_64,TP65_,forest_area,forest_percent,LSCR,undernourishment_percent,BDWS_percent,BSS_percent,SDWS_percent,life_expectancy,CO2,Net_Migrants_number,Net_Migration_Rate,Tourist_Arrivals_m,Departures_Country,Domestic_tourists,Tourist_Arrivals,Tourism_flow,year,week_in_year,mean_dengue,sd_dengue,dengue_z_score,week,date,longitude,latitude,equator_dist,SSI,annual_amp,semiannual_amp,full_seasonal_amp,annual_rel_amp,semiannual_rel_amp,annual_peak_week,semiannual_peak_week,Dengue.virus.type.1,Dengue.virus.type.2,Dengue.virus.type.3,Dengue.virus.type.4
KHM,201211,2012,42352,11,0.005616382,150,Cambodia,"Population, total",SP.POP.TOTL,14786640,10.14429242,34.47142857,25.6,30.48571429,37.35714286,25.6,32.4,21.14285714,59.94285714,0.571428571,85.71428571,30.35714286,0,0,0,37.51428571,131.7714286,1009.271429,57.71428571,9.871428571,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,72954.22581,38.38709677,2012,11,350.1765734,583.9513918,-0.342796637,11,2012/3/12,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201212,2012,42352,12,0.005357627,176,Cambodia,"Population, total",SP.POP.TOTL,14786640,11.90263643,34.88571429,25.35714286,29.6,38.07142857,25.35714286,31.97142857,21.97142857,65.95714286,0.714285714,85.71428571,33.33285714,0,0,0,21.48571429,177.1142857,1008.814286,53.74285714,9.585714286,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,72954.22581,38.38709677,2012,12,350.1765734,583.9513918,-0.298272383,12,2012/3/19,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201213,2012,42352,13,0.006166483,213,Cambodia,"Population, total",SP.POP.TOTL,14786640,14.40489523,33.81428571,25.64285714,29.85714286,36.27142857,26.08571429,31.81428571,21.02857143,61.41428571,0.285714286,42.85714286,11.31,0,0,0,20.88571429,140.4142857,1009.557143,51.72857143,9.528571429,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,71775.66022,41.93655914,2012,13,350.1765734,583.9513918,-0.234910945,13,2012/3/26,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201214,2012,42352,14,0.00677517,187,Cambodia,"Population, total",SP.POP.TOTL,14786640,12.64655121,33.74285714,24.4,29.22857143,36.7,24.4,31.28571429,21.51428571,65.21428571,0.428571429,71.42857143,25,0,0,0,21.3,122.2714286,1010.285714,57.15714286,9.771428571,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64704.26667,63.23333333,2012,14,350.1765734,583.9513918,-0.279435199,14,2012/4/2,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201215,2012,42352,15,0.006297132,256,Cambodia,"Population, total",SP.POP.TOTL,14786640,17.31292572,35.24285714,25.18571429,29.72857143,39.41428571,25.18571429,32.37142857,22.2,65.62857143,0.285714286,100,33.33428571,0,0,0,16.6,154.5428571,1008.614286,55.17142857,9.914285714,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64704.26667,63.23333333,2012,15,350.1765734,583.9513918,-0.161274679,15,2012/4/9,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201216,2012,42352,16,0.006716184,267,Cambodia,"Population, total",SP.POP.TOTL,14786640,18.0568405,35.14285714,26.82857143,31.07142857,39.08571429,28.85714286,34.77142857,22.6,62.64285714,0.142857143,42.85714286,14.88,0,0,0,22.48571429,178.3428571,1006.414286,54.84285714,9.857142857,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64704.26667,63.23333333,2012,16,350.1765734,583.9513918,-0.142437495,16,2012/4/16,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201217,2012,42352,17,0.008041542,355,Cambodia,"Population, total",SP.POP.TOTL,14786640,24.00815872,34.72857143,26.22857143,30.05714286,39,26.64285714,33.44285714,23.21428571,68.67142857,0.714285714,71.42857143,56.54714286,0,0,1,29.34285714,194.3571429,1006.428571,57.57142857,9.814285714,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64704.26667,63.23333333,2012,17,350.1765734,583.9513918,0.00825998,17,2012/4/23,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201218,2012,42352,18,0.009229974,478,Cambodia,"Population, total",SP.POP.TOTL,14786640,32.3264785,35,25.81428571,29.94285714,39.7,25.81428571,33.18571429,23.3,69.68571429,0.714285714,85.71428571,49.40285714,0,0,0,29.05714286,202.8571429,1005.771429,59.72857143,9.942857143,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,54382.82151,47.16236559,2012,18,350.1765734,583.9513918,0.21889395,18,2012/4/30,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201219,2012,42352,19,0.011359691,558,Cambodia,"Population, total",SP.POP.TOTL,14786640,37.73676778,34.57142857,25.11428571,28.9,38.68571429,25.11428571,31.55714286,23.18571429,73.58571429,0.714285714,85.71428571,54.76285714,0,0,1,30.9,217.0428571,1006.442857,64.1,9.585714286,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,52662.58065,44.48387097,2012,19,350.1765734,583.9513918,0.355891654,19,2012/5/7,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201220,2012,42352,20,0.014767652,746,Cambodia,"Population, total",SP.POP.TOTL,14786640,50.45094761,33.28571429,24.85714286,27.81428571,38.98571429,24.85714286,30.04285714,23.91428571,79.65714286,0.857142857,85.71428571,72.61857143,0,0,0,29.32857143,208.0571429,1005.371429,69.44285714,9.457142857,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,52662.58065,44.48387097,2012,20,350.1765734,583.9513918,0.677836259,20,2012/5/14,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
