tempmax,tempmin,temp,dew,humidity,precip,windspeed,cloudcover,sealevelpressure,visibility,GDP,HEP,forest_percent,TP0_14,TP65_,TP15_64,population_density,UPR,Tourist_Arrivals,CO2,ISO_A0
0.26897642,0.852138,0.20156628,-0.8805862,-0.8940135,0.5128965,-1.041116,0.95628434,-1.0058885,1.2504135,2.7225373,3.451528,0.07524531,0.34747398,3.8198133,7.7310386,2.6127713,0.33618647,-2.4265077,0.22518618,SGP
-1.9590962,-0.006292938,0.17442101,-0.8878262,-1.8427417,-1.0837073,-1.8840243,-0.28781223,-2.1210825,0.643591,1.0805234,-2.4286869,-0.5030407,-0.7740257,-0.57504225,3.1883373,-0.1005964,0.28221506,-14.925803,0.96456844,MYS
0.65590346,-2.7693882,-0.44724256,-1.518013,0.6183766,0.67349064,-1.4114689,-0.14226943,-1.4926102,0.27611622,1.502444,2.9398532,0.9234476,-0.21900603,-3.056767,3.6733336,1.4224114,0.31172097,-0.0076572485,0.22026007,MYS
1.9854828,-1.2361547,1.1130706,0.65771496,5.148284,1.5287989,5.325986,1.41458,1.4162482,3.3273184,-2.7455692,-3.868769,-2.8035328,-1.1344169,-0.8426504,-9.548646,-2.8706837,-5.0045686,-2.4647076,4.257041,LAO
0.0964765,-0.105477735,0.51365775,0.17619869,0.19108076,-2.659661,-2.2013538,-1.1772327,-1.3549346,-0.67150587,-1.4565811,-1.7658863,2.0341167,0.1309065,-1.5170052,-17.2535,-3.7435071,-1.3009844,-3.5759447,0.8711074,LAO
-3.3969784,0.39576867,-0.3912209,0.98251516,0.43729967,-2.1623116,-3.0743656,-1.8740512,-3.3406405,-1.3772264,-2.0876324,-0.52035064,-0.6368183,-0.58057016,-0.6321865,3.741457,0.30259162,0.07666855,3.341395,0.60653627,THA
2.4855013,-1.489294,2.353016,-1.0546604,1.4823638,-1.7238021,0.08476421,-1.1705419,0.38370866,-1.3257738,1.2777028,-3.768575,0.020485451,1.4075165,-4.76813,-2.440023,-6.1243873,-0.05307971,-3.3571303,0.6454239,VNM
3.7672737,-2.6980724,1.8083428,-0.32415363,0.01019923,-1.7698604,-4.1479983,0.14922357,0.74248207,0.25926185,7.9574547,2.2802525,3.17598,0.6968099,4.893435,10.594763,1.6460296,0.9331026,2.919416,4.0873785,VNM
9.02227,-0.64082974,5.3280725,1.5039403,10.5473385,-1.0642749,10.180436,-1.2637204,5.7182436,12.515274,9.446905,3.9646986,9.84354,0.4442011,5.375024,16.010927,9.143478,4.2294183,6.10015,11.175457,LAO
0.92362416,-5.8697786,-3.102153,-2.5491092,0.54023814,4.3286967,-1.2305094,-1.0379105,-0.72320825,0.92667425,18.560658,3.075619,9.634413,8.4157715,1.6541783,9.814978,2.3531103,0.48566255,4.7268357,0.7304935,SGP
0.17738812,-1.4298177,-1.9175369,-2.0099366,-1.3087927,-2.110698,-0.95504034,-2.5801525,1.063621,0.91480744,1.1090761,-3.9023092,-0.73774374,-0.10864919,-3.6652024,-0.26413605,-3.117489,0.06530283,-2.6241145,0.61112255,VNM
0.4634951,-1.0601121,-0.16727127,-0.56126356,-1.5787534,-2.9502509,-1.0191903,-0.6552199,-0.88598627,0.38967767,-0.19128087,-4.9729834,-2.5162716,-1.1074389,-1.6774272,2.082001,-0.115049705,0.085040174,-18.111763,0.49773487,THA
-2.100681,-1.811609,-0.28154573,-0.14093895,2.7936141,-2.2927065,3.6901248,0.96008956,0.66227037,0.26768306,-1.421527,0.024142204,-2.9382253,-3.170784,-0.11363378,-12.12777,-3.5346804,-2.6698766,-4.443501,-0.7776299,KHM
-0.56852907,-0.26154205,-0.19453202,0.51352423,-1.3124595,0.6945704,-3.0799809,0.27668267,-3.0162003,-0.34294057,1.9096795,-0.5193246,1.0869434,-0.031506736,-0.05619018,-19.595179,-3.5095725,0.40579253,-5.515096,1.2105038,LAO
1.1634874,-2.39896,-1.1068993,-0.6868818,-1.2551593,-3.4157538,-4.492929,1.0329065,2.4202495,1.1417361,2.8270593,0.93563807,1.5376711,0.7523186,2.2206705,3.4109437,-1.182957,0.27830893,6.5000043,1.0456405,VNM
-1.0346171,-1.7753336,-0.3617266,-0.780619,1.5971756,0.5535737,-1.2756424,-0.0716963,-1.6127725,0.15464698,1.1297777,-0.35800904,0.15914316,-0.5619661,-0.555787,0.779717,0.37544477,0.23355976,-20.199877,0.17704777,MYS
-1.5522352,1.3438957,-0.54704195,0.3372721,-0.4996665,2.0476801,-0.615157,0.0012075119,3.038312,1.137103,-0.81325334,-8.533508,-4.434689,-0.15564236,0.5318311,1.1724975,-0.38946366,-0.07541313,-21.247313,0.4065424,THA
0.50492215,-3.111264,-1.4907589,0.23511536,1.1001074,1.5206738,-3.819416,0.22864941,-2.8078978,0.75244164,0.4128939,0.084409244,-0.96135026,-1.1049638,-3.425085,-2.6135783,2.6670284,0.15850042,-4.490128,-0.4536202,SGP
1.5265068,-1.626968,1.0257186,-1.415371,1.7220505,0.048922967,-3.5038764,1.4005473,-2.7145991,-0.2873142,2.1472237,0.47666433,-2.1955938,-0.28693515,1.9980171,-12.840482,-1.1433142,0.31067586,-0.8851183,-2.0152729,PHL
-2.4975886,-0.3171587,0.22136302,0.46082667,3.2173123,-2.380402,4.51472,-0.22189543,1.3582863,-0.7150983,-5.2096186,-3.3393846,-2.165158,-2.757762,-1.5484892,-9.758361,-3.5359561,-1.6531887,-3.2419202,-2.9401028,KHM
-2.92774,0.886122,-0.5618514,-0.030499661,-0.61814755,1.6766508,-1.6652535,-0.19176075,2.455008,1.0931824,-0.6588929,-5.7461886,-4.1061883,-0.1047065,-0.29860815,1.9305722,-0.5029301,-0.03146077,-20.118391,0.47093618,THA
-2.1675134,-7.0125117,-0.169363,-0.5382384,-1.088705,-2.4675734,7.248231,3.859243,3.9975996,1.3984896,7.9315944,4.114251,0.31455016,-1.0013382,2.0593278,-7.973812,-1.5039239,-0.68870217,-1.8484236,2.4795432,KHM
-2.7592485,0.20698607,2.0059562,-0.56174386,-0.4761189,1.1526783,-1.5248513,1.1809665,-1.7177655,-0.49183896,-2.2497022,0.5943006,0.44676757,-1.0656687,1.5118166,7.2940416,0.306591,0.2046352,2.6365027,0.5073815,MYS
0.588391,-3.1943285,-2.1796036,-0.67765856,0.22882126,-0.30548882,-2.4608283,0.35086384,-1.1159774,0.06864599,1.7567525,2.3147042,-0.8937509,-0.24141458,0.34086725,1.1679355,1.3331703,0.30029854,-6.1643586,0.18307589,SGP
-0.6469004,-4.6027236,-0.21641655,0.94694364,1.3698801,3.838444,-4.6913776,6.2709966,-0.23538016,-1.5342498,0.8232905,5.1356435,1.4282758,1.0834485,0.28682446,10.316882,1.5917747,0.41843283,12.377678,6.3327966,THA
0.7605014,1.9387791,0.6436178,-0.231896,-0.6966746,2.728517,-3.179313,2.9564328,4.7006335,1.3766464,-1.8725853,-3.1334913,-0.094448045,-1.2750714,-1.0485514,4.330491,-0.15109307,0.16542548,-2.4623897,0.48049545,THA
2.9808376,-1.2675725,0.12026544,0.38576984,4.9150577,-0.39726895,1.561915,1.2301865,1.9118915,-0.6398748,3.9198813,-0.031187415,2.4223726,-0.13823533,0.37226808,-3.3636909,-1.3955681,0.5578556,-3.8112116,-3.0842283,PHL
