adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/8/5,2012/8/11,2012,1955,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/8/12,2012/8/18,2012,1667,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/8/19,2012/8/25,2012,1633,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/8/26,2012/9/1,2012,1644,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/9/2,2012/9/8,2012,1496,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/9/9,2012/9/15,2012,1296,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/9/16,2012/9/22,2012,1023,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/9/23,2012/9/29,2012,1005,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/9/30,2012/10/6,2012,954,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/10/7,2012/10/13,2012,863,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/10/14,2012/10/20,2012,760,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/10/21,2012/10/27,2012,569,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/10/28,2012/11/3,2012,546,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/11/4,2012/11/10,2012,452,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/11/11,2012/11/17,2012,381,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/11/18,2012/11/24,2012,358,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/11/25,2012/12/1,2012,296,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/12/2,2012/12/8,2012,256,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/12/9,2012/12/15,2012,256,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/12/16,2012/12/22,2012,219,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/12/23,2012/12/29,2012,210,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/12/30,2013/1/5,2012,164,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2012/1/3,2013/1/5,2012,42352,Total,Admin0,Year,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/1/6,2013/1/12,2013,153,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/1/13,2013/1/19,2013,133,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/1/20,2013/1/26,2013,102,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/1/27,2013/2/2,2013,68,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/2/3,2013/2/9,2013,85,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/2/10,2013/2/16,2013,88,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/2/17,2013/2/23,2013,116,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/2/24,2013/3/2,2013,113,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/3/3,2013/3/9,2013,113,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/3/10,2013/3/16,2013,142,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/3/17,2013/3/23,2013,113,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/3/24,2013/3/30,2013,110,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/3/31,2013/4/6,2013,125,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
